route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
GOV_MIN_74,Ground_Daily,Boulak El-Dakrour,0,,GOV_MIN_74_0
GOV_MIN_74,Ground_Daily,Suez Bridge Entrance to Ring Road,1,,GOV_MIN_74_1
GOV_MIN_79,Ground_Daily,Basateen,0,,GOV_MIN_79_0
GOV_MIN_79,Ground_Daily,Arab Tuweila,1,,GOV_MIN_79_1
GOV_MIN_80,Ground_Daily,Al Darraasa,0,,GOV_MIN_80_0
GOV_MIN_80,Ground_Daily,Isko,1,,GOV_MIN_80_1
GOV_MIN_81,Ground_Daily,Naguib Mahfouz Square (1st Settlement),0,,GOV_MIN_81_0
GOV_MIN_81,Ground_Daily,Kobry Orabi,1,,GOV_MIN_81_1
GOV_MIN_101,Ground_Daily,Naguib Mahfouz Square (1st Settlement),0,,GOV_MIN_101_0
GOV_MIN_101,Ground_Daily,Rod Al Farag Metro Station,1,,GOV_MIN_101_1
GOV_MIN_106,Ground_Daily,Attaba,0,,GOV_MIN_106_0
GOV_MIN_106,Ground_Daily,Salam Station (10th of Ramadan Station),1,,GOV_MIN_106_1
GOV_MIN_115,Ground_Daily,8th District (Nasr City),0,,GOV_MIN_115_0
GOV_MIN_115,Ground_Daily,Amiriyyah,1,,GOV_MIN_115_1
GOV_MIN_125,Ground_Daily,Naguib Mahfouz Square (1st Settlement),0,,GOV_MIN_125_0
GOV_MIN_125,Ground_Daily,Lebanon Square,1,,GOV_MIN_125_1
GOV_MIN_131,Ground_Daily,Naguib Mahfouz Square (1st Settlement),0,,GOV_MIN_131_0
GOV_MIN_131,Ground_Daily,Rod Al Farag Metro Station,1,,GOV_MIN_131_1
GOV_MIN_136,Ground_Daily,Al Sayeda Nafeesa,0,,GOV_MIN_136_0
GOV_MIN_136,Ground_Daily,Naguib Mahfouz Square (1st Settlement),1,,GOV_MIN_136_1
GOV_MIN_137,Ground_Daily,Qawmeya Arabeya,0,,GOV_MIN_137_0
GOV_MIN_137,Ground_Daily,Higher Institute For Hotels & Tourism (Sheraton),1,,GOV_MIN_137_1
GOV_MIN_138,Ground_Daily,Al Nozha Al Gadida,0,,GOV_MIN_138_0
GOV_MIN_138,Ground_Daily,Helwan Metro,1,,GOV_MIN_138_1
GOV_MIN_139,Ground_Daily,Al Sayeda Zeinab,0,,GOV_MIN_139_0
GOV_MIN_139,Ground_Daily,El-Qawmia,1,,GOV_MIN_139_1
GOV_MIN_140,Ground_Daily,Rehab Square,0,,GOV_MIN_140_0
GOV_MIN_140,Ground_Daily,Mohamed Naguib Metro Station,1,,GOV_MIN_140_1
GOV_MIN_145,Ground_Daily,Al Toob Al Ramly,0,,GOV_MIN_145_0
GOV_MIN_145,Ground_Daily,Moasasset Al Zakah,1,,GOV_MIN_145_1
GOV_MIN_149,Ground_Daily,Basateen,0,,GOV_MIN_149_0
GOV_MIN_149,Ground_Daily,El-Qawmia,1,,GOV_MIN_149_1
GOV_MIN_153,Ground_Daily,10th District (Nasr City),0,,GOV_MIN_153_0
GOV_MIN_153,Ground_Daily,Zahraa Ain Shams,1,,GOV_MIN_153_1
GOV_MIN_202,Ground_Daily,Al Darraasa,0,,GOV_MIN_202_0
GOV_MIN_202,Ground_Daily,Arab Tuweila,1,,GOV_MIN_202_1
GOV_MIN_203,Ground_Daily,Al Omraneyya,0,,GOV_MIN_203_0
GOV_MIN_203,Ground_Daily,Abbassia,1,,GOV_MIN_203_1
GOV_MIN_211,Ground_Daily,Suez Bridge Entrance to Ring Road,0,,GOV_MIN_211_0
